序号,词汇,核心词汇,核心词义,情感,词类,内容描述,11-医疗健康,品牌,平台,词源链接,负责人,关联核心词汇,关联核心词义,关联情感,关联词类,关联品类,关联品牌,关联平台 
11,信息流广告,原生形态广告,把广告置入社交媒体用户的好友动态、或者资讯媒体和视听媒体内容流中,中性,外来词汇,在2006年由Facebook首先推出。这种穿插在内容流中的广告，对用户来说体验相对较好，对广告主来说可以利用用户的标签进行精准投放，因此特别是在移动互联网时代到来后迎来了爆炸式的增长。,12-游戏应用,Facebook,搜狐,https://www.sohu.com/a/842057151_122109640,,原生形态广告,把广告置入社交媒体用户的好友动态、或者资讯媒体和视听媒体内容流中,中性,外来词汇,12-游戏应用,Facebook,搜狐
12,植入式广告,场景嵌入,把广告置入情景场，以达到潜移默化的宣传效果,中性,外来词汇,"植入式广告是把产品及其服务具有代表性的视听品牌符号融入影视或舞台作品中的一种广告方式，给观众留下相当的印象，以达到营销目的。
",11-医疗健康,钙尔奇,哔哩哔哩,https://www.bilibili.com/video/BV1bKsFeKEU2/?vd_source=ae488cd54f4603ab6e0de18e1a2bdb9e,,场景嵌入,把广告置入情景场，以达到潜移默化的宣传效果,中性,外来词汇,11-医疗健康,钙尔奇,哔哩哔哩
13,程序化广告购买,自动化交易、数字化采购,通过数字平台自动化执行广告媒体购买的过程，利用大数据和实时竞价技术实现精准广告投放,中性,外来词汇,程序化广告是指通过数字化、自动化、系统化的方式改造广告主、代理公司、媒体平台并将它们进行程序化对接，从而实现目标人群匹配、竞价购买，广告投放，投放报表反馈等一系列过程自动化的广告投放技术。,2-美妆个护,欧莱雅,中国程序化广告资讯网,https://mp.weixin.qq.com/s/cTMoeBVI0DSd_3aqiDwTPg,,自动化交易、数字化采购,通过数字平台自动化执行广告媒体购买的过程，利用大数据和实时竞价技术实现精准广告投放,中性,外来词汇,2-美妆个护,欧莱雅,中国程序化广告资讯网
14,计算广告,精准投放、数据驱动,在线广告，即在媒体上投放的广告；其中参与计算的内容叫计算广告,中性,外来词汇,计算广告是以数据为基础、以算法为手段、以用户为中心的智能营销方式，它在数据的实时高效计算下，进行用户场景画像，并快速投放、精准匹配及优化用户一系列需求。,12-游戏应用,浙大新传KK学姐,微信公众号,https://mp.weixin.qq.com/s/cTMoeBVI0DSd_3aqiDwTPg,,精准投放、数据驱动,在线广告，即在媒体上投放的广告；其中参与计算的内容叫计算广告,中性,外来词汇,12-游戏应用,浙大新传KK学姐,微信公众号
15,原生广告,内容化广告、形式统一,将品牌内容与用户体验相结合的广告形式,中性,外来词汇,当一个广告只能在单独的平台中被付费投放，并且此种形式适合该平台的浏览环境的时候，这个广告就被称为原生广告。,12-游戏应用,有道口语,有道翻译,https://mp.weixin.qq.com/s/cTMoeBVI0DSd_3aqiDwTPg,,内容化广告、形式统一,将品牌内容与用户体验相结合的广告形式,中性,外来词汇,12-游戏应用,有道口语,有道翻译
16,广告回避,主动规避、抵触心理,消费者对广告内容的拒绝和抵触现象,消极,外来词汇,广告回避是指用户不同程度地減少广告接收的所有行为。包括身体回避：在电视播放广告的过程中，受众起身离开以避开广告；机械回避：受众通过换台、快进等方式避开广告；认知回避：“在场”却不观看，或边看边活动。,6-教育培训,赵心悦,微信公众号,https://mp.weixin.qq.com/s/cTMoeBVI0DSd_3aqiDwTPg,,主动规避、抵触心理,消费者对广告内容的拒绝和抵触现象,消极,外来词汇,6-教育培训,赵心悦,微信公众号
17,病毒营销,自发传播、口碑效应,利用公众的积极性和人际网络，让营销信息像病毒一样传播和扩散,消极,外来词汇,"病毒营销指的是通过类似病理方面和计算机方面的病毒传播方式，即自我复制的病毒式的传播过程，利用已有的社交网络去提升品牌知名度或达到其他市场营销目的的一种营销方式。



病毒营销的信息能够像病毒一样深入人脑，快速复制，迅速传播，将信息在短时间内传向更多的受众。",12-游戏应用,微信,公众号,https://mp.weixin.qq.com/s/cTMoeBVI0DSd_3aqiDwTPg,,自发传播、口碑效应,利用公众的积极性和人际网络，让营销信息像病毒一样传播和扩散,消极,外来词汇,12-游戏应用,微信,公众号
18,幸福的体感,主观幸福感,个体因生活和经历而产生的满足、快乐和积极的情感体验,积极,旧词新用,沦陷在自己的舒适小天地里，真正地有了一种“幸福的体感”,8-旅游文娱,初夏《网上“发疯”的年轻人，在线下疗愈自己》,澎湃新闻,https://www.thepaper.cn/newsDetail_forward_26565209,,主观幸福感,个体因生活和经历而产生的满足、快乐和积极的情感体验,积极,旧词新用,8-旅游文娱,初夏《网上“发疯”的年轻人，在线下疗愈自己》,澎湃新闻
19,薅羊毛,获取优惠、占小便宜,指网赚一族利用各种网络金融产品或红包活动推广下线抽成赚钱，如外卖优惠券、减免优惠、送话费、送流量等诸多活动,中性,外来词汇,喜欢喝这种酸酸甜甜小酒的姐妹趁着薅羊毛可以多囤些~,1-餐饮食品,汉董大师酒,网易,https://www.163.com/dy/article/HTD1N2KS0542Q5CG.html,,获取优惠、占小便宜,指网赚一族利用各种网络金融产品或红包活动推广下线抽成赚钱，如外卖优惠券、减免优惠、送话费、送流量等诸多活动,中性,外来词汇,1-餐饮食品,汉董大师酒,网易
20,被可爱是了,心生喜爱,被可爱死了，即太可爱了,积极,旧词新用,怎么会有人不喜欢小黄人·被可爱是了~,8-旅游文娱,神偷奶爸,小红书, http://xhslink.com/SQNyVu,,心生喜爱,被可爱死了，即太可爱了,积极,旧词新用,8-旅游文娱,神偷奶爸,小红书
21,急9,急需帮助,急救，即紧急补救,中性,旧词新用, 除了日常的使用我还会用来急9湿敷 最近被脸蛋儿被晒红起皮我就湿敷5-8mir 修护褪红的能力真的是没得说,2-美妆个护,芦荟胶,淘宝,http://xhslink.com/7CZGVu,,急需帮助,急救，即紧急补救,中性,旧词新用,2-美妆个护,芦荟胶,淘宝
22,赶due专用,临时赶工,用于描述在截止日期之前匆忙完成某项任务的行为,中性,外来词汇,一个人类狗窝，一个宜家小桌，还有不知名的儿童图书柜。赶due专用,4-数码家电,宜家,小红书,http://xhslink.com/3KgDOu,,临时赶工,用于描述在截止日期之前匆忙完成某项任务的行为,中性,外来词汇,4-数码家电,宜家,小红书
23,破防,深受触动、情绪失控,破除心理预防,消极,旧词新用,破防了！桂格的新品是来报恩的吗？！,1-餐饮食品,桂格麦片,小红书, http://xhslink.com/znidTu,,深受触动、情绪失控,破除心理预防,消极,旧词新用,1-餐饮食品,桂格麦片,小红书
24,天菜,天才,某人或某事物非常出色、令人无法抗拒，近乎完美,积极,旧词新用,美白水乳天菜，Get素颜自由真的绝！,2-美妆个护,羽西白芍,知乎,http://xhslink.com/srGl6u,,天才,某人或某事物非常出色、令人无法抗拒，近乎完美,积极,旧词新用,2-美妆个护,羽西白芍,知乎
25,茅台红,标志性红色,时间的红、担当的红、荣耀的红、传承的红、梦想的红等诸多意义,积极,简略词汇,茅台红为中国运动健儿加油,1-餐饮食品,人民日报,人民网,http://finance.people.com.cn/n1/2023/0923/c1004-40083690.html,,标志性红色,时间的红、担当的红、荣耀的红、传承的红、梦想的红等诸多意义,积极,简略词汇,1-餐饮食品,人民日报,人民网
26,数智,数据驱动的智能,数字化与智能化的融合体,中性,简略词汇,"数智连接 构建数字生态新空间
数智探索 打造元宇宙看展新体验
数智彩铃 开启趣味来点新玩法",12-游戏应用,中国联通,腾讯网,https://2023cmgc.yaoland.cn/,,数据驱动的智能,数字化与智能化的融合体,中性,简略词汇,12-游戏应用,中国联通,腾讯网
27,"Citywalk、
Cityride",随意游览,城市漫步，也指时髦不时髦、洋气不洋气,中性,字母词汇,Citywalk、Cityride出圈 绿色出行成为新风尚,8-旅游文娱,央视新闻,央视新闻,https://mp.weixin.qq.com/s/GDZlO7QBtX3HprhRl7Lizw,,随意游览,城市漫步，也指时髦不时髦、洋气不洋气,中性,字母词汇,8-旅游文娱,央视新闻,央视新闻
28,大爆发,急剧增长,折扣力度大,中性,旧词新用,镇店爆款 折扣大爆发,10-家居生活,宜家,天猫,https://sdycdsp.tmall.com/,,急剧增长,折扣力度大,中性,旧词新用,10-家居生活,宜家,天猫
29,岛民,岛屿居民、圈内人,某人自称来自某个小众群体,中性,旧词新用,全光自贸港 千兆惠岛民,4-数码家电,中国电信,中国电信,https://uop.hi.189.cn/uop-web/html/order/order_page_cfg/html/detail_page_cfg.html?prodNbr=20230728161749757&code=20211203054737199&saleNo=20191230100741308&appCode=HNNewen&authCode=family_por_179,,岛屿居民、圈内人,某人自称来自某个小众群体,中性,旧词新用,4-数码家电,中国电信,中国电信
30,666,厉害,优惠力度大,中性,字母词汇,建行龙卡信用卡 消费优惠666,7-金融保险,中国建设银行,南海网,http://www.hinews.cn/chuangke/guangtujh01.shtml,,厉害,优惠力度大,中性,字母词汇,7-金融保险,中国建设银行,南海网
31,人气永动机,长盛不衰,人气高涨，热度持久,积极,新造词汇,此外更有4号线地铁口“人气永动机”的加持，超强人气托底，买来即出租。,10-家居生活,江西报业传媒集团,中国江西网,https://www.jxcn.cn/system/2023/10/08/020250106.shtml,,长盛不衰,人气高涨，热度持久,积极,新造词汇,10-家居生活,江西报业传媒集团,中国江西网
32,发疯文学,情绪宣泄式文本,夸张、无序、情绪饱满的文字表达方式,消极,旧词新用,9月26日，花西子官方微博发文称：“我，花西子，6岁半，我有一个梦想，做一个立足本土，走向世界的高端品牌”，并配图“好心态，决定花西子一生”！,2-美妆个护,花西子,上海证券报,https://mp.weixin.qq.com/s/86YXjgmi0SrzCpYTMR8zaA?from=singlemessage&isappinstalled=0&scene=1&clicktime=1697015281&enterid=1697015281,,情绪宣泄式文本,夸张、无序、情绪饱满的文字表达方式,消极,旧词新用,2-美妆个护,花西子,上海证券报
33,双向奔赴,共同努力,朝着用户的需求努力靠近,积极,旧词新用,为了让广大用户轻松购车无压力，瑞虎8荣耀版还推出5重购车礼遇，其中购车限时可享7座车型免费升级，切实做到了懂用户所想、宠用户所需，与用户双向奔赴。,5-汽车出行,奇瑞汽车,广东视频第一端,https://m.itouchtv.cn/article/4e931818d10f7f08addb1c2d1651242d?shareId=1Oth3wBC,,共同努力,朝着用户的需求努力靠近,积极,旧词新用,5-汽车出行,奇瑞汽车,广东视频第一端
34,现泡茶,现场冲泡,冻干茶在水中融化，实现3秒即溶现泡现喝,中性,简略词汇,开创现泡茶新品类，伊利领跑全新赛道,1-餐饮食品,伊利,新华网,http://www.news.cn/fortunepro/20230728/b22bdb7ca9af49f4956a604bd33db4ac/c.html,,现场冲泡,冻干茶在水中融化，实现3秒即溶现泡现喝,中性,简略词汇,1-餐饮食品,伊利,新华网
35,数字牙刷,只能牙刷,运用了口腔算法，搭配能够显示刷牙时长与牙菌斑清洁程度的智能屏幕的口腔产品,中性,新造词汇,从“电动牙刷”到“数字牙刷” 科技“智”造拓展行业新宽度,2-美妆个护,usmile,新华网,http://www.news.cn/fortunepro/20230921/30efe220f2704228bfbfb1927e05d9d4/c.html,,只能牙刷,运用了口腔算法，搭配能够显示刷牙时长与牙菌斑清洁程度的智能屏幕的口腔产品,中性,新造词汇,2-美妆个护,usmile,新华网
36,yyds,优秀的,永远的神,积极,外来词汇,这套牛奶丝睡衣简直人间香奈儿!!送礼必备啊啊啊啊啊!!!!!!这套牛奶丝睡衣简直是送礼天花板一套睡衣怎么能做到又美又温柔太太太好看了叭    奶白色+芍药花的组合也太令人惊喜了吧满心满眼都是好温柔好温柔好温柔牛奶般丝滑的绸缎面料简直yyds上身后就完全不想换掉了。几乎是裸感的舒适度五星好评  吊带+长裤+长款睡袍三件套款式又美又特别简直就是四季款爱了爱了芍药花的话语依依惜别可赠予给身处异地的朋友表达想念这个送闺蜜超好戳的而且睡衣还有贴心的礼盒装送闺密真的排面和仪式感直接拉满又美又贴心的礼物送闺蜜简直就是送礼天花板坐等被夸国#精致睡衣推荐 #舒适睡衣推荐 #送给闺蜜的礼物 #闺蜜礼物 #闺蜜生日礼物 #送女朋友礼物 #生日礼物 #情侣礼物 #女生礼,1-餐饮食品,唯品会,小红书,http://xhslink.com/lBeQGk,,优秀的,永远的神,积极,外来词汇,1-餐饮食品,唯品会,小红书
37,神仙,出色的,某个人或某件事情、事物非常厉害、神奇、令人惊叹,积极,旧词新用, 2022 秋季千叶花限定 公主颜值dior秋冬限定!请推给我的富婆闺蜜  今日开店，薯薯在线营业，欢迎点击页面左下角橱窗 购买 到底怎么样才能让我闺蜜刷到这条!!我看看Dior2022秋冬限定的millefiori玫瑰花系列美死谁了!是什么神仙颜值哇!花卉刺绣太有气质了吧秋季限定的两款口红壳都充满高贵气质，直戳我心巴   Dior新色1947就是又纯又欲的荔枝冰露白开水，涂上就是纯纯甜妹一枚吖~气垫蜜粉也是绝美，公主颜值中出门聚会拿出来补妆都感觉自己是大小姐感谢@舌灿桃花小姐姐的口红试色图片~快@你的富婆闺蜜两让她买给你，点击图片左下角，限定商品真的很容易断货!!!,2-美妆个护,雅诗兰黛,搜狐,https://www.sohu.com/a/926762229_122316774,,出色的,某个人或某件事情、事物非常厉害、神奇、令人惊叹,积极,旧词新用,2-美妆个护,雅诗兰黛,搜狐
38,哒咩,不行,不行,消极,方言转化,消防宣传公益广告中吴京双手交叉的魔性动作，原图配文为“请勿占用消防车通道”；,6-教育培训,吴京,冰棍儿网,https://www.bingguner.com/mingxing/156074.html,,不行,不行,消极,方言转化,6-教育培训,吴京,冰棍儿网
39,集美,姐妹,姐妹,中性,新造词汇,把秋天戴在手腕「桂花香」轮回手绳“人闲桂花落，夜静春山空”宝宝们~这款真的是美的走不动道!!桂花香·手绳真的绝美手工编织搭配蜜蜡小桂花味仿佛置身桂花香中 桂花控的集美这款一定要冲！蜜蜡手感温润秋天佩戴真的敲舒服~而且有“镇定心神、美容养颜”的作用 蜜蜡也是佛教七宝之一可以驱邪避灾得神圣宝石+敲平价!敲平价!敲平价!#宝藏饰品大公开 #蜜蜡 #蜜蜡手链 #秋季穿搭 #桂花 #手绳编织 #手工编绳 #手作 #国风 #手工 #我的手工日常,3-服饰鞋帽,桃七泡泡,抖音,http://xhslink.com/CsVPGk,,姐妹,姐妹,中性,新造词汇,3-服饰鞋帽,桃七泡泡,抖音
40,666,厉害,厉害、神奇,积极,字母词汇,"然后还是继续用贝德玛粉水

是真的有点666

首先作为敏感肌也能用的一款卸妆水

它的卸妆力真的牛！",2-美妆个护,贝德玛,,http://xhslink.com/lmdkFk,,厉害,厉害、神奇,积极,字母词汇,2-美妆个护,贝德玛,
41,快充,快速充电,快速充电,中性,简略词汇,小米13获得3c认证：依旧是经典67w快充,4-数码家电,小米,搜狐,https://3g.k.sohu.com/t/n641412485?serialId=ba866529c37a27f39af0250c8b44868b&showType=&shp1=Njk4NzMzMzIwMTIxNjA4OTQyMQ%3D%3D,,快速充电,快速充电,中性,简略词汇,4-数码家电,小米,搜狐
42,鲜货火锅,食材新鲜、未经加工,一种强调食材新鲜度和透明化制作过程的火锅形式，顾客可以清楚地看到食材从采购到上桌的每一个环节,积极,新造词汇,当你每一次来到火凤祥鲜货火锅；品尝每一口幸福的滋味，体会每一次相聚的快乐，有没有想过，谁是火锅的鲜？调味鲜，调味万千，当然更鲜。食材鲜，食材万千，我只选鲜。形式鲜，品味万千，要玩的鲜。相聚相伴，快乐保鲜！火锅万千，还是我鲜。,1-餐饮食品,火凤祥鲜货火锅,抖音,0.53 W@M.ws 11/24 mDH:/ 复制打开抖音，看看【火凤祥鲜货火锅的作品】火凤祥鲜货火锅完整广告出街啦！[庆祝]4分钟说清楚... https://v.douyin.com/ieEREG9d/,,食材新鲜、未经加工,一种强调食材新鲜度和透明化制作过程的火锅形式，顾客可以清楚地看到食材从采购到上桌的每一个环节,积极,新造词汇,1-餐饮食品,火凤祥鲜货火锅,抖音
43,纸片人,虚拟人物,二次元动画或游戏中的角色,积极,新造词汇,2D”版本的马修·麦康纳现实生活中遇到的诸多不便，在吃掉“3D”版的多力多滋后，才“膨胀”回来，恢复正常。,8-旅游文娱,Doritos,抖音,3.53 复制打开抖音，看看【艺彩广告影视的作品】# 创意广告 # 零食推荐 2D纸片人的马修“平平... https://v.douyin.com/5sJ4A1dW4ho/ TYZ:/ 07/26 j@C.us ,,虚拟人物,二次元动画或游戏中的角色,积极,新造词汇,8-旅游文娱,Doritos,抖音
44,幂式穿搭,混搭风格、随性时髦,杨幂穿搭，将舒适感穿出高级感,积极,新造词汇,她曾经是明星“机场街拍”的鼻祖，贡献过多个经典的私服穿搭造型，不仅扭转了自己此前略土的时尚形象，也让许多人开始“跟着杨幂学穿搭”。,3-服饰鞋帽,小野和子,抖音,4.69 Q@x.se QXM:/ 03/15 复制打开抖音，看看# 我要上热门 谁懂啊！这舒适又慵懒的大开衫谁不爱... https://v.douyin.com/idMY9gth/,,混搭风格、随性时髦,杨幂穿搭，将舒适感穿出高级感,积极,新造词汇,3-服饰鞋帽,小野和子,抖音
45,多巴胺,色彩缤纷,颜色鲜艳，鲜活感强,积极,旧词新用,多巴胺穿搭，晒出我的夏日降温,3-服饰鞋帽,NERESUM,抖音,9.71 复制打开抖音，看看【NERESUM的作品】晒出我的夏日降温多巴胺穿搭# 普通人夏日出游穿搭思... https://v.douyin.com/9Gzat6GUyy0/ 04/15 Y@z.gb pDH:/ ,,色彩缤纷,颜色鲜艳，鲜活感强,积极,旧词新用,3-服饰鞋帽,NERESUM,抖音
46,美拉德,大地色系,以棕色、褐色、卡其色等颜色为主旋律，又以橙色等色调加以点缀，突出一种符合秋季温暖舒适的氛围感。,中性,外来词汇,赶上一个末班车的美拉德少女,3-服饰鞋帽,Whisper耳语,抖音,1.00 复制打开抖音，看看【whisper耳语的作品】赶一个末班车的美拉德少女# 美拉德风  https://v.douyin.com/vmGbnPVLQhA/ 01/14 nQK:/ f@o.Qx ,,大地色系,以棕色、褐色、卡其色等颜色为主旋律，又以橙色等色调加以点缀，突出一种符合秋季温暖舒适的氛围感。,中性,外来词汇,3-服饰鞋帽,Whisper耳语,抖音
47,种草,产生兴趣,对某事物产生兴趣，想要推荐商品激发消费者购买欲望,积极,旧词新用,这东西我种草了,3-服饰鞋帽,韩安娜呀,抖音,3.51 Z@Z.mD 03/27 jca:/  复制打开抖音，看看【时尚 可能有关】关于春夏的6只小包包，这期怎么什么风格都有喔！？ ... https://v.douyin.com/idBN1egx/,,产生兴趣,对某事物产生兴趣，想要推荐商品激发消费者购买欲望,积极,旧词新用,3-服饰鞋帽,韩安娜呀,抖音
48,真香,言行不一、事后反悔,效果很好,积极,旧词新用,用这个祛痘真香啊,2-美妆个护,伊美莱活性硫祛痘精华,抖音,2.89 复制打开抖音，看看【麦麦来测评的作品】用前怀疑，用后真香了，祛痘真有一手# 伊美莱活性硫... https://v.douyin.com/yPmoSWZjsmI/ 09/26 Z@Z.zt qRX:/ ,,言行不一、事后反悔,效果很好,积极,旧词新用,2-美妆个护,伊美莱活性硫祛痘精华,抖音
49,绝绝子,极致,太绝了，表示好极了；也表示差极了，用于嘲讽,积极,新造词汇,绝绝子：OPPO广告的声音太好听了吧 #配音 #广告 #手机 #怀旧,8-旅游文娱,OPPO,抖音,5.64 08/08 cAG:/ g@o.Dh 绝绝子：OPPO广告的声音太好听了吧 # 配音 # 广告 # 手机 # 怀旧  https://v.douyin.com/mfm6t2TF4FY/ 复制此链接，打开Dou音搜索，直接观看视频！,,极致,太绝了，表示好极了；也表示差极了，用于嘲讽,积极,新造词汇,8-旅游文娱,OPPO,抖音
